wavelength,blue_02,black_03,white_03,orange_03,LACM_30859-25_black,LACM_30859-25_white,LACM_30859-25_orange,LACM_30859-25_blue,LACM_1272_black,LACM_1272_white,LACM_1272_orange,LACM_1272_blue
422,0.03964889,0.013175035,0.331830859,0.054139789,0.034587063,0.04784495,0.045424029,0.065435655,0.011638174,0.076411597,0.086099409,0.117026486
426,0.053594537,0.021141272,0.425799668,0.079000652,0.048394062,0.070661038,0.060182367,0.059829589,0.021829939,0.10526298,0.106102586,0.117881909
430,0.053972725,0.028098449,0.406643331,0.085295193,0.059355654,0.083697908,0.069594391,0.061314132,0.029601831,0.118374445,0.120467491,0.122654699
434,0.066672087,0.043747075,0.504205227,0.100908756,0.063989893,0.102139585,0.078011967,0.069729507,0.039403062,0.140245557,0.134503528,0.131914064
438,0.065300025,0.04744,0.506227612,0.099314265,0.066072479,0.112301558,0.081434838,0.073538713,0.043827582,0.151054755,0.140632838,0.135575935
442,0.064077534,0.053561155,0.525860429,0.100265324,0.075738117,0.124972977,0.086946167,0.078308016,0.049016092,0.162259117,0.146321625,0.141499683
446,0.066464707,0.058633927,0.57978797,0.103168346,0.081005275,0.137866274,0.089676529,0.079506256,0.051502768,0.174502328,0.14806436,0.142339393
450,0.073614061,0.065343268,0.678803384,0.112615563,0.082960159,0.150028631,0.091567501,0.079805642,0.052379198,0.187009066,0.148415446,0.140997216
454,0.070894249,0.062127855,0.65040946,0.114697434,0.086883508,0.15803881,0.102719627,0.089706503,0.055563338,0.191664636,0.160697147,0.153095827
458,0.073630005,0.062659763,0.658679247,0.123135746,0.091134436,0.167145908,0.115385719,0.100699462,0.059148867,0.196696416,0.174711019,0.16707021
462,0.081870422,0.065652438,0.717476606,0.135724202,0.095008872,0.178100482,0.124587379,0.107767038,0.061011411,0.202721551,0.180588111,0.17122896
466,0.08976423,0.067297041,0.770029783,0.148480028,0.098851532,0.188978314,0.132901028,0.113918342,0.06167683,0.206776664,0.182503164,0.17228435
470,0.092107326,0.065377295,0.773537099,0.154488906,0.10353338,0.199069396,0.14286074,0.121851757,0.062830016,0.208274394,0.184370056,0.174206123
474,0.098959565,0.066695534,0.808495283,0.164826319,0.106810264,0.208221018,0.148875087,0.125683099,0.063066587,0.207598045,0.181412295,0.172697037
478,0.100956865,0.064559102,0.804934859,0.167670533,0.109822497,0.217394754,0.154890373,0.129722431,0.063412562,0.20693627,0.178572178,0.170772851
482,0.109924652,0.066534236,0.829309404,0.179156229,0.11486388,0.22572796,0.162806481,0.136884615,0.066303864,0.206070796,0.178467482,0.170979291
486,0.119874582,0.068404235,0.869211376,0.190195665,0.118694492,0.236504659,0.169963211,0.143113032,0.068556003,0.20885919,0.178993121,0.170586467
490,0.124367826,0.067903101,0.872332513,0.194114104,0.122157179,0.246080533,0.176562965,0.148902237,0.07080584,0.211185798,0.179847553,0.17057322
494,0.129662171,0.068398334,0.872092962,0.198955223,0.124997467,0.256155044,0.183948264,0.155154377,0.073406085,0.213857144,0.182960942,0.171910256
498,0.136302754,0.069518171,0.882574201,0.205622613,0.127748996,0.265130401,0.190510496,0.160549864,0.07563065,0.216102824,0.185648844,0.172737464
502,0.141039774,0.069355905,0.885812044,0.209244132,0.129056469,0.275649518,0.198276982,0.166836381,0.07585077,0.220267013,0.188361168,0.174726069
506,0.143995374,0.069324054,0.879007697,0.211635217,0.131209418,0.28596881,0.206797928,0.173745751,0.076438479,0.224568203,0.190889001,0.177201852
510,0.14984493,0.070422359,0.891474962,0.218253747,0.132900685,0.296287775,0.214850992,0.180679277,0.077637985,0.22869736,0.193733856,0.179482713
514,0.154140323,0.071644217,0.888892114,0.222772032,0.135840937,0.304853857,0.222723827,0.190329477,0.080403537,0.231811211,0.197257355,0.181971237
518,0.155772761,0.071580678,0.871319294,0.223442465,0.138824761,0.313438416,0.230444163,0.199719355,0.083451502,0.234658524,0.200914964,0.18445316
522,0.157758057,0.072035141,0.858597219,0.225155592,0.142987311,0.324563235,0.240055248,0.210559398,0.086533159,0.239748165,0.204017907,0.187831104
526,0.161297947,0.072705537,0.856956959,0.228552476,0.146222115,0.337887526,0.250632763,0.221505195,0.089014359,0.246851414,0.206744507,0.191395059
530,0.16620554,0.074509025,0.864839017,0.234072819,0.148849413,0.3506203,0.260841787,0.232181773,0.091213971,0.25377053,0.209474057,0.194867626
534,0.169747308,0.076515488,0.866776168,0.237512231,0.152152747,0.362192601,0.270989925,0.242489338,0.094061546,0.260697514,0.213479474,0.198798656
538,0.169954672,0.077049777,0.852131307,0.236316442,0.155398965,0.373410165,0.280896068,0.252541065,0.096887276,0.267348468,0.21733886,0.202462077
542,0.170491561,0.077191025,0.839902341,0.235630482,0.158138618,0.383981317,0.289885879,0.262436509,0.099940315,0.272770345,0.221085846,0.205797151
546,0.172892272,0.077468991,0.83937192,0.237356663,0.159658536,0.394060135,0.298088431,0.272009999,0.102379613,0.277154475,0.224909037,0.208633095
550,0.175850719,0.079619013,0.844801903,0.241831169,0.164269313,0.404690653,0.30709663,0.2821289,0.107353643,0.282674909,0.229438856,0.21252203
554,0.184863657,0.082735412,0.863952339,0.251496792,0.168545336,0.417738676,0.320114821,0.295080006,0.11220932,0.292428941,0.237137586,0.21923247
558,0.204009518,0.088571288,0.925568461,0.273634106,0.170964286,0.429932326,0.332271039,0.30703634,0.115209445,0.301507026,0.244272709,0.22553198
562,0.217753515,0.091650039,0.964223325,0.287946433,0.171514615,0.439751804,0.343652785,0.317326009,0.115781829,0.309341878,0.250602871,0.231253818
566,0.217821866,0.091956303,0.959140182,0.290313393,0.175040498,0.449767262,0.355091304,0.327729613,0.118500784,0.317553282,0.256630957,0.236925632
570,0.213839471,0.091723308,0.939337432,0.288012028,0.183528602,0.459855855,0.365897506,0.337292552,0.125855744,0.325324893,0.262210369,0.242310926
574,0.207862362,0.09190581,0.931137919,0.287738591,0.192352802,0.472025394,0.376185864,0.345158845,0.134046614,0.332769334,0.267234176,0.246771932
578,0.200797766,0.091155432,0.917208135,0.285696,0.201152936,0.484199613,0.386501968,0.352921814,0.141981885,0.34021157,0.272287756,0.25120753
582,0.196000367,0.088918246,0.909557283,0.283484489,0.208699539,0.497101605,0.397026598,0.359476268,0.146738559,0.3492167,0.277404845,0.256753772
586,0.195923164,0.087865517,0.915867507,0.284598321,0.21492745,0.509905577,0.40767163,0.364948988,0.150666624,0.358819753,0.28232953,0.263005972
590,0.197335243,0.088184625,0.927743912,0.28808403,0.220058352,0.522094905,0.417693317,0.370522797,0.155243486,0.368090034,0.287131965,0.26898092
594,0.198066294,0.088942386,0.937932849,0.292712003,0.22456488,0.532990515,0.426953077,0.378264874,0.160355285,0.377577484,0.293194443,0.275517225
598,0.196995839,0.088888593,0.94043529,0.295065016,0.228873447,0.543606222,0.435854703,0.38597402,0.165333897,0.386781633,0.299059868,0.281855226
602,0.193934038,0.08778888,0.933732033,0.294112116,0.237275973,0.554186344,0.44652462,0.392437607,0.171675891,0.394839883,0.305670291,0.287720919
606,0.188552007,0.086408675,0.918660045,0.291083097,0.246465266,0.564246178,0.458263606,0.398225158,0.178718179,0.401573956,0.31270659,0.293106794
610,0.182949737,0.086468212,0.903266549,0.28847608,0.257122874,0.573062599,0.469300419,0.403751373,0.18709752,0.407414705,0.319281995,0.298719287
614,0.182923973,0.08816313,0.916442394,0.290425003,0.264312625,0.586277008,0.478255063,0.406977177,0.193392918,0.416929275,0.325229943,0.305003166
618,0.184390426,0.090286717,0.934636772,0.294060737,0.271143228,0.598716378,0.486742079,0.409974247,0.199345663,0.425890505,0.33083573,0.310920089
622,0.185126588,0.092414841,0.944835186,0.296389073,0.278323114,0.611562431,0.496532917,0.414416045,0.205572933,0.434873343,0.337674856,0.316988558
626,0.186943054,0.095479086,0.957589567,0.301128864,0.28724277,0.622578442,0.507107019,0.42003718,0.21313791,0.442312866,0.345286161,0.323616922
630,0.191092432,0.099150881,0.984720588,0.309473127,0.295296401,0.635048509,0.517683744,0.425316304,0.219854683,0.45079875,0.352706134,0.33027494
634,0.188082069,0.10118486,0.988333702,0.312301457,0.304643124,0.642759442,0.525766134,0.429218531,0.226820067,0.455953181,0.357047796,0.337254852
638,0.17908287,0.100344181,0.963948369,0.306250513,0.314074129,0.650263608,0.53377229,0.432813495,0.233941048,0.460927635,0.36137262,0.34414342
642,0.174954012,0.101410568,0.955561161,0.306509078,0.325044036,0.657899439,0.546338856,0.439354718,0.244037226,0.466455638,0.368334711,0.353224844
646,0.174161986,0.102967873,0.960570335,0.309258252,0.334453166,0.668841958,0.559841275,0.445622414,0.252988219,0.474472582,0.375856131,0.362117767
650,0.173143551,0.104566596,0.962430358,0.310328156,0.345061511,0.682052553,0.573267639,0.452601343,0.261969566,0.484092623,0.383832246,0.371353477
654,0.170791969,0.106318548,0.951996744,0.309559256,0.357911497,0.69361341,0.585575879,0.460563868,0.27177304,0.492325813,0.392183751,0.381558448
658,0.170064375,0.109038278,0.951030612,0.311862618,0.370823294,0.705231428,0.597954929,0.46870333,0.281667888,0.500619411,0.40058741,0.391763657
662,0.168998182,0.111548312,0.943749785,0.313058347,0.381070107,0.718590379,0.610901058,0.477791756,0.292964131,0.510173917,0.409806848,0.40145731
666,0.167879865,0.114066444,0.928950548,0.314298302,0.391586661,0.729546726,0.625148177,0.488606662,0.305868357,0.518132091,0.420073748,0.41247794
670,0.168269187,0.117760345,0.923479557,0.319713384,0.402031779,0.740065217,0.639258444,0.499648005,0.318695784,0.525790811,0.430325061,0.423689336
674,0.174007207,0.123614691,0.925061703,0.3334378,0.412521929,0.74185884,0.649947941,0.509135544,0.329911679,0.528486669,0.437551409,0.434556216
678,0.182055786,0.130744383,0.935493946,0.350292861,0.422677577,0.743340552,0.659881234,0.51796788,0.340761155,0.531495452,0.444244683,0.444813937
682,0.191898614,0.135153264,0.94815892,0.363962233,0.431340277,0.749714911,0.670196831,0.528939188,0.349932253,0.53789413,0.450447202,0.454397023
686,0.202392638,0.13667801,0.957151353,0.375137776,0.437387049,0.753959477,0.679903328,0.542141616,0.356747359,0.542408407,0.455649376,0.464252859
690,0.213024527,0.138436273,0.962708592,0.385558039,0.444396347,0.758450508,0.690316498,0.555950284,0.364930958,0.547238111,0.461474001,0.474490315
694,0.230233595,0.143042788,0.966717482,0.395746469,0.455188453,0.765476942,0.702498674,0.568145454,0.378697962,0.553258121,0.470669687,0.483140528
698,0.245872736,0.146363854,0.961774945,0.402528226,0.466231614,0.773455918,0.714902163,0.580471814,0.392846465,0.559947371,0.480007499,0.491996348
702,0.262028843,0.148471862,0.959427774,0.412102193,0.473728657,0.777930677,0.726904988,0.594710767,0.402782232,0.564176023,0.48782894,0.501439214
706,0.284268558,0.152554765,0.974438608,0.42888698,0.480380535,0.780971944,0.739586294,0.610343337,0.411747992,0.567311168,0.495458454,0.511445284
710,0.315496922,0.162594303,1.018314362,0.459151357,0.48777014,0.784672916,0.7530545,0.626721084,0.421388537,0.571041286,0.503579438,0.522115171